date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,1,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,0,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,2,0
2020-03-10,7,0
2020-03-11,5,0
2020-03-12,13,0
2020-03-13,6,0
2020-03-14,3,0
2020-03-15,2,0
2020-03-16,9,0
2020-03-17,7,0
2020-03-18,6,0
2020-03-19,6,0
2020-03-20,7,0
2020-03-21,11,0
2020-03-22,12,0
2020-03-23,8,0
2020-03-24,9,0
2020-03-25,23,0
2020-03-26,10,0
2020-03-27,17,0
2020-03-28,21,0
2020-03-29,12,0
2020-03-30,29,0
2020-03-31,23,0
2020-04-01,18,0
2020-04-02,32,0
2020-04-03,24,0
2020-04-04,21,0
2020-04-05,13,0
2020-04-06,26,0
2020-04-07,37,0
2020-04-08,30,0
2020-04-09,22,0
2020-04-10,26,0
2020-04-11,19,0
2020-04-12,8,0
2020-04-13,21,0
2020-04-14,21,0
2020-04-15,28,0
2020-04-16,29,0
2020-04-17,32,23
2020-04-18,22,12
2020-04-19,26,36
2020-04-20,15,12
2020-04-21,28,27
2020-04-22,29,29
2020-04-23,32,10
2020-04-24,35,18
2020-04-25,22,21
2020-04-26,21,15
2020-04-27,32,20
2020-04-28,40,19
2020-04-29,18,5
2020-04-30,30,12
2020-05-01,16,15
2020-05-02,18,20
2020-05-03,12,2
2020-05-04,18,7
2020-05-05,9,14
2020-05-06,21,5
2020-05-07,18,4
2020-05-08,20,9
2020-05-09,14,3
2020-05-10,11,6
2020-05-11,23,4
2020-05-12,21,1
2020-05-13,30,7
2020-05-14,14,8
2020-05-15,15,7
2020-05-16,31,10
2020-05-17,10,10
2020-05-18,18,7
2020-05-19,15,7
2020-05-20,31,12
2020-05-21,24,7
2020-05-22,15,2
2020-05-23,8,9
2020-05-24,6,6
2020-05-25,9,4
2020-05-26,7,2
2020-05-27,17,5
2020-05-28,14,3
2020-05-29,5,0
2020-05-30,8,1
2020-05-31,11,7
2020-06-01,7,0
2020-06-02,12,3
2020-06-03,4,2
2020-06-04,8,4
2020-06-05,3,2
2020-06-06,8,4
2020-06-07,3,2
2020-06-08,5,0
2020-06-09,8,5
2020-06-10,7,1
2020-06-11,5,2
2020-06-12,3,1
2020-06-13,3,9
2020-06-14,3,3
2020-06-15,4,1
2020-06-16,8,1
2020-06-17,7,1
2020-06-18,3,1
2020-06-19,4,0
2020-06-20,3,7
2020-06-21,6,2
2020-06-22,7,1
2020-06-23,4,0
2020-06-24,2,5
2020-06-25,1,3
2020-06-26,3,0
2020-06-27,1,1
2020-06-28,2,3
2020-06-29,9,0
2020-06-30,2,2
2020-07-01,4,577
2020-07-02,8,4
2020-07-03,5,5
2020-07-04,2,4
2020-07-05,5,9
2020-07-06,7,3
2020-07-07,4,1
2020-07-08,1,9
2020-07-09,5,2
2020-07-10,3,4
2020-07-11,0,3
2020-07-12,2,3
2020-07-13,4,1
2020-07-14,2,1
2020-07-15,4,3
2020-07-16,3,2
2020-07-17,3,3
2020-07-18,0,7
2020-07-19,1,3
2020-07-20,2,2
2020-07-21,2,1
2020-07-22,1,0
2020-07-23,2,4
2020-07-24,4,1
2020-07-25,3,1
2020-07-26,0,2
2020-07-27,4,6
2020-07-28,2,0
2020-07-29,6,4
2020-07-30,4,2
2020-07-31,4,1
2020-08-01,6,6
2020-08-02,1,5
2020-08-03,3,10
2020-08-04,3,1
2020-08-05,5,1
2020-08-06,4,3
