date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,1,0
2020-03-10,2,0
2020-03-11,1,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,1,0
2020-03-15,0,0
2020-03-16,1,0
2020-03-17,3,0
2020-03-18,0,0
2020-03-19,1,0
2020-03-20,2,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,3,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,6,0
2020-03-27,9,0
2020-03-28,10,0
2020-03-29,4,0
2020-03-30,16,0
2020-03-31,8,0
2020-04-01,13,0
2020-04-02,13,0
2020-04-03,16,0
2020-04-04,11,0
2020-04-05,12,0
2020-04-06,9,0
2020-04-07,20,0
2020-04-08,9,0
2020-04-09,18,0
2020-04-10,6,0
2020-04-11,11,0
2020-04-12,10,0
2020-04-13,9,0
2020-04-14,15,0
2020-04-15,11,0
2020-04-16,10,0
2020-04-17,7,8
2020-04-18,13,5
2020-04-19,12,3
2020-04-20,17,5
2020-04-21,15,3
2020-04-22,19,8
2020-04-23,14,31
2020-04-24,15,23
2020-04-25,9,17
2020-04-26,10,5
2020-04-27,10,3
2020-04-28,31,2
2020-04-29,15,4
2020-04-30,14,9
2020-05-01,27,12
2020-05-02,17,7
2020-05-03,19,3
2020-05-04,15,2
2020-05-05,18,7
2020-05-06,15,6
2020-05-07,14,29
2020-05-08,11,24
2020-05-09,9,2
2020-05-10,11,0
2020-05-11,13,1
2020-05-12,16,12
2020-05-13,9,18
2020-05-14,11,21
2020-05-15,13,17
2020-05-16,11,0
2020-05-17,6,0
2020-05-18,17,0
2020-05-19,14,22
2020-05-20,8,12
2020-05-21,9,12
2020-05-22,6,8
2020-05-23,14,4
2020-05-24,10,1
2020-05-25,8,1
2020-05-26,10,1
2020-05-27,5,3
2020-05-28,6,1
2020-05-29,6,23
2020-05-30,3,5
2020-05-31,4,0
2020-06-01,6,0
2020-06-02,12,0
2020-06-03,4,7
2020-06-04,9,9
2020-06-05,7,0
2020-06-06,2,3
2020-06-07,0,0
2020-06-08,7,0
2020-06-09,3,4
2020-06-10,7,3
2020-06-11,4,2
2020-06-12,19,3
2020-06-13,1,1
2020-06-14,0,0
2020-06-15,7,0
2020-06-16,3,4
2020-06-17,1,2
2020-06-18,10,2
2020-06-19,2,1
2020-06-20,6,8
2020-06-21,1,0
2020-06-22,3,0
2020-06-23,3,2
2020-06-24,2,0
2020-06-25,2,1
2020-06-26,1,5
2020-06-27,4,0
2020-06-28,3,0
2020-06-29,2,0
2020-06-30,3,1
2020-07-01,2,293
2020-07-02,1,7
2020-07-03,1,2
2020-07-04,0,3
2020-07-05,0,1
2020-07-06,1,0
2020-07-07,3,1
2020-07-08,1,0
2020-07-09,1,1
2020-07-10,1,2
2020-07-11,0,1
2020-07-12,1,0
2020-07-13,0,0
2020-07-14,2,0
2020-07-15,0,0
2020-07-16,1,5
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,1
2020-07-20,1,0
2020-07-21,2,0
2020-07-22,0,0
2020-07-23,2,1
2020-07-24,2,0
2020-07-25,1,1
2020-07-26,0,1
2020-07-27,3,1
2020-07-28,0,0
2020-07-29,1,6
2020-07-30,2,0
2020-07-31,0,2
2020-08-01,0,2
2020-08-02,4,0
2020-08-03,2,0
2020-08-04,5,2
2020-08-05,1,2
2020-08-06,2,3
