date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,1,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,3,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,1,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,2,0
2020-03-28,0,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,2,0
2020-04-01,5,0
2020-04-02,8,0
2020-04-03,10,0
2020-04-04,8,0
2020-04-05,4,0
2020-04-06,15,0
2020-04-07,12,0
2020-04-08,9,0
2020-04-09,13,0
2020-04-10,17,0
2020-04-11,14,0
2020-04-12,10,0
2020-04-13,15,0
2020-04-14,28,0
2020-04-15,31,0
2020-04-16,10,0
2020-04-17,15,26
2020-04-18,24,24
2020-04-19,18,16
2020-04-20,25,17
2020-04-21,13,1
2020-04-22,29,44
2020-04-23,17,17
2020-04-24,38,22
2020-04-25,28,13
2020-04-26,28,23
2020-04-27,33,18
2020-04-28,36,0
2020-04-29,68,26
2020-04-30,55,6
2020-05-01,50,12
2020-05-02,20,22
2020-05-03,35,7
2020-05-04,29,6
2020-05-05,30,34
2020-05-06,13,25
2020-05-07,28,18
2020-05-08,18,17
2020-05-09,8,7
2020-05-10,21,11
2020-05-11,21,6
2020-05-12,25,0
2020-05-13,16,23
2020-05-14,19,8
2020-05-15,20,7
2020-05-16,12,5
2020-05-17,22,10
2020-05-18,26,0
2020-05-19,22,0
2020-05-20,20,19
2020-05-21,39,9
2020-05-22,20,8
2020-05-23,26,0
2020-05-24,32,7
2020-05-25,21,6
2020-05-26,17,6
2020-05-27,15,14
2020-05-28,19,4
2020-05-29,14,4
2020-05-30,13,3
2020-05-31,11,1
2020-06-01,7,7
2020-06-02,11,0
2020-06-03,7,1
2020-06-04,11,9
2020-06-05,6,4
2020-06-06,4,2
2020-06-07,1,3
2020-06-08,7,0
2020-06-09,6,2
2020-06-10,16,3
2020-06-11,6,0
2020-06-12,13,13
2020-06-13,15,2
2020-06-14,7,0
2020-06-15,11,8
2020-06-16,25,0
2020-06-17,5,5
2020-06-18,6,4
2020-06-19,3,1
2020-06-20,5,5
2020-06-21,4,1
2020-06-22,2,0
2020-06-23,4,0
2020-06-24,2,4
2020-06-25,3,1
2020-06-26,1,0
2020-06-27,0,2
2020-06-28,1,0
2020-06-29,1,0
2020-06-30,3,0
2020-07-01,2,728
2020-07-02,0,0
2020-07-03,2,3
2020-07-04,2,2
2020-07-05,0,0
2020-07-06,1,2
2020-07-07,0,0
2020-07-08,2,1
2020-07-09,0,0
2020-07-10,1,0
2020-07-11,1,2
2020-07-12,0,1
2020-07-13,2,1
2020-07-14,1,1
2020-07-15,1,2
2020-07-16,1,1
2020-07-17,3,1
2020-07-18,6,1
2020-07-19,2,2
2020-07-20,2,7
2020-07-21,2,2
2020-07-22,0,0
2020-07-23,1,3
2020-07-24,4,1
2020-07-25,0,2
2020-07-26,1,3
2020-07-27,1,1
2020-07-28,2,1
2020-07-29,1,3
2020-07-30,1,0
2020-07-31,2,2
2020-08-01,0,1
2020-08-02,1,0
2020-08-03,0,0
2020-08-04,1,1
2020-08-05,2,0
2020-08-06,0,0
