date,newCasesBySpecimenDate,newCasesByPublishDate
2020-03-02,1,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,2,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,1,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,3,0
2020-03-17,2,0
2020-03-18,5,0
2020-03-19,2,0
2020-03-20,6,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,6,0
2020-03-24,3,0
2020-03-25,4,0
2020-03-26,11,0
2020-03-27,15,0
2020-03-28,10,0
2020-03-29,11,0
2020-03-30,11,0
2020-03-31,20,0
2020-04-01,21,0
2020-04-02,17,0
2020-04-03,18,0
2020-04-04,15,0
2020-04-05,11,0
2020-04-06,19,0
2020-04-07,14,0
2020-04-08,16,0
2020-04-09,18,0
2020-04-10,12,0
2020-04-11,13,0
2020-04-12,20,0
2020-04-13,21,0
2020-04-14,10,0
2020-04-15,8,0
2020-04-16,30,0
2020-04-17,19,11
2020-04-18,15,8
2020-04-19,9,28
2020-04-20,9,4
2020-04-21,14,10
2020-04-22,11,17
2020-04-23,17,9
2020-04-24,17,8
2020-04-25,17,10
2020-04-26,25,5
2020-04-27,19,5
2020-04-28,13,9
2020-04-29,25,9
2020-04-30,26,3
2020-05-01,8,11
2020-05-02,11,9
2020-05-03,14,2
2020-05-04,8,5
2020-05-05,16,10
2020-05-06,12,2
2020-05-07,13,7
2020-05-08,10,1
2020-05-09,7,5
2020-05-10,5,5
2020-05-11,18,5
2020-05-12,8,5
2020-05-13,4,1
2020-05-14,4,2
2020-05-15,6,1
2020-05-16,5,1
2020-05-17,3,1
2020-05-18,5,3
2020-05-19,5,0
2020-05-20,9,3
2020-05-21,2,4
2020-05-22,4,1
2020-05-23,1,4
2020-05-24,2,0
2020-05-25,5,0
2020-05-26,5,0
2020-05-27,2,2
2020-05-28,3,0
2020-05-29,6,0
2020-05-30,0,1
2020-05-31,2,0
2020-06-01,4,0
2020-06-02,1,0
2020-06-03,2,0
2020-06-04,2,2
2020-06-05,4,1
2020-06-06,4,1
2020-06-07,2,0
2020-06-08,1,2
2020-06-09,1,5
2020-06-10,10,0
2020-06-11,8,1
2020-06-12,1,0
2020-06-13,0,3
2020-06-14,0,0
2020-06-15,1,0
2020-06-16,1,0
2020-06-17,1,1
2020-06-18,0,1
2020-06-19,0,0
2020-06-20,0,0
2020-06-21,1,0
2020-06-22,2,1
2020-06-23,3,0
2020-06-24,1,0
2020-06-25,1,0
2020-06-26,0,0
2020-06-27,1,1
2020-06-28,0,0
2020-06-29,0,0
2020-06-30,0,0
2020-07-01,4,287
2020-07-02,2,0
2020-07-03,1,3
2020-07-04,1,2
2020-07-05,2,2
2020-07-06,1,0
2020-07-07,2,0
2020-07-08,3,2
2020-07-09,0,3
2020-07-10,1,0
2020-07-11,0,2
2020-07-12,0,3
2020-07-13,0,0
2020-07-14,0,1
2020-07-15,2,0
2020-07-16,2,0
2020-07-17,0,0
2020-07-18,0,2
2020-07-19,0,1
2020-07-20,3,0
2020-07-21,3,1
2020-07-22,2,0
2020-07-23,5,4
2020-07-24,3,2
2020-07-25,3,2
2020-07-26,1,8
2020-07-27,2,4
2020-07-28,1,0
2020-07-29,1,2
2020-07-30,4,2
2020-07-31,0,1
2020-08-01,0,1
2020-08-02,1,0
2020-08-03,1,1
2020-08-04,7,3
2020-08-05,1,2
2020-08-06,2,4
2020-08-07,1,0
2020-08-08,2,3
2020-08-09,0,1
2020-08-10,3,2
2020-08-11,5,2
2020-08-12,0,1
2020-08-13,2,0
2020-08-14,2,5
2020-08-15,0,2
2020-08-16,0,2
2020-08-17,1,0
2020-08-18,2,1
2020-08-19,4,2
2020-08-20,4,1
2020-08-21,2,0
2020-08-22,1,2
2020-08-23,2,1
2020-08-24,1,3
2020-08-25,4,3
2020-08-26,2,3
2020-08-27,2,6
2020-08-28,1,1
2020-08-29,2,0
2020-08-30,0,1
2020-08-31,5,2
2020-09-01,7,2
2020-09-02,7,6
2020-09-03,12,3
2020-09-04,1,2
2020-09-05,2,2
2020-09-06,3,1
2020-09-07,4,3
2020-09-08,4,5
2020-09-09,6,7
2020-09-10,7,8
2020-09-11,4,4
2020-09-12,11,7
2020-09-13,15,2
2020-09-14,8,9
2020-09-15,5,18
2020-09-16,8,11
2020-09-17,15,5
2020-09-18,18,8
2020-09-19,42,9
2020-09-20,7,26
2020-09-21,32,37
2020-09-22,28,13
2020-09-23,33,20
2020-09-24,54,31
2020-09-25,54,43
2020-09-26,22,9
2020-09-27,6,37
2020-09-28,17,15
2020-09-29,20,37
2020-09-30,24,15
2020-10-01,16,5
2020-10-02,19,14
2020-10-03,10,40
2020-10-04,19,44
2020-10-05,32,26
2020-10-06,24,23
2020-10-07,34,25
2020-10-08,28,39
2020-10-09,20,40
2020-10-10,19,20
2020-10-11,6,24
2020-10-12,21,15
2020-10-13,32,25
2020-10-14,23,31
2020-10-15,13,26
2020-10-16,23,29
2020-10-17,19,27
2020-10-18,27,11
2020-10-19,32,21
2020-10-20,26,29
2020-10-21,48,39
2020-10-22,71,30
2020-10-23,34,31
2020-10-24,28,56
2020-10-25,28,57
2020-10-26,41,37
2020-10-27,49,43
2020-10-28,37,35
2020-10-29,65,37
2020-10-30,33,46
2020-10-31,21,39
2020-11-01,22,43
2020-11-02,73,45
2020-11-03,50,30
2020-11-04,73,77
2020-11-05,46,44
2020-11-06,69,63
2020-11-07,27,46
2020-11-08,48,30
2020-11-09,89,67
2020-11-10,126,42
2020-11-11,75,57
2020-11-12,55,83
2020-11-13,73,115
2020-11-14,51,135
2020-11-15,37,61
2020-11-16,69,0
2020-11-17,52,45
2020-11-18,48,70
2020-11-19,51,56
2020-11-20,48,53
2020-11-21,31,46
2020-11-22,24,43
2020-11-23,36,45
2020-11-24,19,20
2020-11-25,19,35
2020-11-26,11,32
2020-11-27,0,11
2020-11-28,0,17
