hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,Sy,Fel,CoH,CoA,CoU,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
2226,"Pen y Fan","32A",,"Ma,Sim,Hew,N, CoH,CoU,CoA","886","2907","SO012215","SO 01210 21588","SH 9315 0000","214.4","672","large cairn","","","2015-12-22","Col only surveyed Trimble Geo XH6000","160","OL12E","301208","221583","51.884031","-3.436765","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
2227,"Corn Du","32A",2226,"N,sSim","873","2864","SO007213","SO 00720 21335","SO009213","845","28","large cairn","","","2001-10-28","","160","OL12E","300718","221330","51.881670","-3.443809","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2228,"Craig Gwaun Taf [Duwynt]","32A",2226,"N","826.4","2711","SO005207","SO 00553 20725","SO 0056 2086","810.3","16.1","knoll by edge of crag","","Trimble GeoXH 6000","2016-11-15","promoted to Nuttall November 2016","160","OL12E","300551","220720","51.876157","-3.446059","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2229,"Waun Fach","32A",,"Ma,Sim,Hew,N","811","2661","SO215299","SO 21553 29989","SO 1120 2604","189.1","622","no feature","ground 20m NE of trig point base. Note trig point (SO 21540 29975) no longer exists.","Abney level","2016-12-23","","161","OL13N","321551","229984","51.962786","-3.143186","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2230,"Fan Brycheiniog - Trig Point","32A",5603,"O","801.7","2630","SN825217","SN 82536 21798","SN824219","798","4","grassy knoll 1m NE of trig point","cairn 290m NNE at SN 82436 22065 (hill 5063) is 0.75m higher","Leica NA730","2014-12-21","Marilyn/Hewitt/Nuttall replaced by hill 5603. See Database Notes","160","OL12W","282533","221793","51.882294","-3.708036","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
2231,"Pen y Gadair Fawr","32A",2229,"Sim,Hew,N","800","2625","SO229287","SO 22946 28763","SO226293","753","47","cairn","","obvious summit","2001-10-28","","161","OL13N","322944","228758","51.951961","-3.122640","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2232,"Cribyn","32A",2226,"Hu,Sim,Hew,N","795","2608","SO023213","SO 02392 21317","SO019211","665","130","small cairn","","","2001-10-28","","160","OL12E","302390","221312","51.881803","-3.419521","W","",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2233,"Waun Rydd","32A",,"Ma,Sim,Hew,N","769.2","2524","SO062206","SO 06214 20650","SO031205","599","170","grassy knoll","cairn 35m N at SO 06212 20687 is 0.6m lower; ground 100m S at SO 06227 20551 is 0.7m lower","Trimble GeoXH 6000","2014-10-19","","160","OL12E","306212","220645","51.876465","-3.363829","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2234,"Fan Hir","32A",5603,"Sim,Hew,N","760","2493","SN830209","SN 83092 20927","SN 8289 2130","717.3","42.7","a few stones in grass","","Leica NA730/Trimble GeoXH 6000","2014-10-04","","160","OL12W","283089","220922","51.874583","-3.699667","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2235,"Bwlch y Ddwyallt [Gwaun Cerrig Llwydion]","32A",2233,"N","754","2474","SO055203","SO 05511 20383","SO057205","736","18","small mound by path 25m NE of cairn","ground near cairn at SO 05488 20372 is lower","Abney level","2017-05-29","","160","OL12E","305509","220378","51.873946","-3.373965","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
