hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,Sy,Fel,CoH,CoA,CoU,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
2161,"Pumlumon Fawr [Plynlimon]","31A",,"Ma,Sim,Hew,N, CoH,CoU","752","2467","SN789869","SN 78972 86945","SN870298","226","526","trig point","","","2011-12-21","","135","213","278969","286941","52.466962","-3.783052","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
2162,"Pen Pumlumon Arwystli","31A",2161,"Sim,Hew,N","741","2431","SN814877","SN 81495 87755","SN808873","677","64","southerly of two ancient cairn","northerly cairn is 40m away at SN 81520 87785","","2007-03-10","","135 136","214W","281492","287751","52.474794","-3.746219","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2163,"Pen Pumlumon Llygad-bychan [Plynlimon East Top]","31A",2161,"Sim,Hew,N","727","2385","SN798871","SN 79902 87159","SN794870","691","36","cairn","ground 80m S at SN 79908 87076 is as high","Abney level","2001-10-28","","135","213","279899","287154","52.46909","-3.769446","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2164,"Y Garn [Drum Peithnant]","31A",2161,"Sim,Hew,N","684","2244","SN775851","SN 77565 85153","SN785853","628","56","cairn","","obvious summit","2001-10-28","","135","213","277562","285149","52.450546","-3.803095","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2165,"Pumlumon Fach","31A",2161,"N","664","2178","SN787874","SN 78727 87438","SN787874","645","19","small cairn","","","2015-01-12","Surveyed by the Nuttalls as having 19.5m drop","135","213","278724","287434","52.471338","-3.786836","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2166,"Banc Llechwedd-mawr","31A",,"Ma,5,Dew","560","1837","SN775898","SN 77544 89844","SN783920","399","161","ancient cairn","shelter 35m N is lower","Abney level","2001-10-28","","135","213","277541","289840","52.492693","-3.805128","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2167,"Drosgol","31A",,"Ma,5,Dew","550","1804","SN759878","SN 75962 87862","SN758891","355","195","cairn","","obvious summit","2001-10-28","","135","213","275959","287858","52.474526","-3.827679","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,"Carnedd Wen","31A",,"Ma,5,Dew","523","1716","SH924099","SH 92417 09922","SH934138","295","228","no feature: ground 8m E of trig point","trig point is at SH 92408 09919","","2003-01-15","","125","OL23E 215W","292414","309918","52.676263","-3.592686","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2169,"Disgwylfa Fawr","31A",,"Ma,5,Dew","507","1663","SN737847","SN 73732 84743","SN 7360 8668","352.5","154","cairn","","obvious summit","2018-04-22","","135","213","273729","284739","52.445989","-3.859311","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,"Bryn Amlwg","31A",,"Ma,4","488","1601","SN921973","SN 92161 97346","SN878939","318","170","knoll 10m SE of trig point","trig point (SN 92153 97356) is lower; knoll 30m E of trig point is c 75cm lower; service road 120m NW at SN 92073 97426 is c 50cm lower","Abney level","2012-12-10","","136","215W","292158","297342","52.563198","-3.592364","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
