hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,Sy,Fel,CoH,CoA,CoU,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
1951,"Yr Eifl","30A",,"Ma,5,Dew","560.7","1840","SH364447","SH 36495 44747","SH453485","131","429","trig point with metal sign '4 (with small H&A)' screwed on","","Leica NA730/Leica GS15/Trimble GeoXH 6000","2014-03-19","","123","253 254","236491","344744","52.975053","-4.436593","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,"Gyrn Ddu","30A",,"Ma,5,Dew","522.1","1713","SH401467","SH 40118 46788","SH387445","136","386","cairn","","obvious summit/Trimble GeoXH 6000","2015-04-24","","115 123","254","240115","346785","52.994478","-4.383695","W","",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,"Bwlch Mawr","30A",1952,"Hu,5,Dew,sMa","510.3","1674","SH426478","SH 42673 47851","SH414466","365","145","large boulder 12m ESE of trig point","rock outcrop 135m SSW at SH 42643 47721 is 0.35m lower","Leica NA730/Leica GS15/Trimble GeoXH 6000","2014-03-19","","115 123","254","242670","347848","53.004782","-4.346179","W","",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,"Carn Fadryn","30A",,"Ma,3","371","1217","SH278351","SH 27869 35186","SH296391","28","343","rock 2m SE of trig point","top of rock is 10cm above flush bracket","Abney level","2001-10-28","","123","253","227865","335182","52.88649","-4.559852","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,"Mynydd Rhiw","30A",,"Ma,3","304","997","SH228293","SH 22850 29392","SH236347","64","240","rocks 2m S of trig point","top of rock is 5cm above flush bracket","Abney level","2012-12-10","","123","253","222846","329388","52.832829","-4.631214","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,"Garn Boduan","30A",,"Ma,2","279","915","SH312393","SH 31211 39351","SH 3364 4187","103.5","176","rock 2m from plinth with brass spot height marker","marginally higher than nearby wind shelter","simple level (summit), Trimble GeoXH 6000 (col)","2015-04-11","","123","253","231207","339347","52.924954","-4.512396","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,"Moel-y-gest","30A",,"Ma,2","263","863","SH549388","SH 54927 38894","SH539397","27","236","boulder 18m South of trig point","boulder is c1.5m higher than trig point (SH 54927 38910); outcrop 35m E of summit is c30cm lower","Abney level","2007-06-30","","124","OL18W 254","254924","338891","52.927783","-4.159684","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,"Carneddol","30A",,"Ma,2","235","771","SH301330","SH 30119 33100","SH300349","78","157","base of W side of wall on grassy knoll","","obvious summit","2012-12-10","","123","253","230115","333096","52.868471","-4.525357","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,"Holyhead Mountain","30A",,"Ma,2,CoH,CoU, SIB","220","722","SH218829","SH 21859 82948","Sea","","220","trig point on circular plinth","rock by plinth is highest visible point but higher ground may be hidden under plinth","obvious summit","2001-10-28","","114","262","221855","382945","53.31341","-4.675573","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,"Mynydd Anelog","30A",,"Ma,1","191.4","628","SH151272","SH 15198 27222","SH 1733 2893","40.4","151","rock 5m E of small cairn","this rock is 2cm higher than base of cairn","Leica NA730/Leica GS15","2013-07-17","Promoted to Marilyn status July 2013","123","253","215194","327218","52.810771","-4.743439","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,"Mynydd Bodafon [Yr Arwydd]","30A",,"Ma,1,SIB","178","584","SH472854","SH 47248 85420","Sea","","178","trig point","","obvious summit","2001-10-28","","114","263N","247245","385417","53.343549","-4.296009","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,"Mynydd Enlli","30A",,"Ma,1,SIB","167.9","551","SH123219","SH 12317 21936","Sea","","167.9","rock outcrop","mound 70m SSW at SH 12280 21872 is 0.8m lower","Abney level/Trimble GeoXH 6000","2015-09-03","","123","253","212313","321932","52.762315","-4.783099","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,"Snowdon - Yr Wyddfa","30B",,"Ma,F,Sim,Hew, N,CoH,CoU,CoA","1085","3560","SH609543","SH 60989 54379","NS758782","46","1039","trig point/view indicator","","","2017-03-07","","115","OL17W","260986","354376","53.068496","-4.076231","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
1964,"Crib y Ddysgl","30B",1963,"F,Sim,Hew,N","1065.3","3495","SH610551","SH 61082 55158","SH607549","993","72","rock 6m SW of trig point","","Leica NA730/Leica GS15","2017-12-20","","115","OL17W","261079","355155","53.075519","-4.07518","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1965,"Carnedd Llewelyn","30B",,"Ma,F,Sim,Hew, N,CoU","1064","3491","SH683643","SH 68364 64375","SH675604","314","750","cairn","shelter 25m SW of cairn (SH 68376 64350) is 0.5m lower; ground at SH 68293 64476 and tors at SH 68233 64495 and SH 68194 64466 are all several metres lower","Abney level","2008-06-30","","115","OL17E OL17W","268361","364372","53.160168","-3.970333","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
1966,"Carnedd Dafydd","30B",1965,"Hu,F,Sim,Hew, N","1044","3425","SH662630","SH 66286 63049","SH680636","933","111","cairn","rocks 30m SE at SH 66314 63034 are 30cm lower; cairn 65m ESE at SH 66352 63041 is 1m lower; note summit cairn may be on man-made structure","Abney level","2009-11-20","","115","OL17W","266283","363046","53.147738","-4.000839","W","",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1967,"Glyder Fawr","30B",,"Ma,F,Sim,Hew, N","1000.9","3284","SH642579","SH 64246 57956","SH647556","359","642","rock tor","rock outcrop 40m SSW at SH 64230 57923 is 1.45m lower; all other rock features lower still","Abney level/Leica 530","2016-11-15","","115","OL17W","264243","357953","53.101470","-4.029164","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1968,"Glyder Fach","30B",1967,"F,Sim,Hew,N","994.3","3262","SH656582","SH 65646 58289","SH 6527 5815","919.8","74.5","large rock on huge pile of rocks","","obvious summit/Trimble GeoXH 6000","2014-10-19","","115","OL17W","265643","358286","53.104815","-4.008407","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1969,"Pen yr Ole Wen","30B",1965,"F,Sim,Hew,N","978","3209","SH655619","SH 65598 61947","SH654622","933","45","ground 5m N of cairn","","Abney level","2001-10-28","","115","OL17W","265595","361944","53.137665","-4.010657","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1970,"Foel Grach","30B",1965,"F,Sim,Hew,N","975.4","3200","SH688659","SH 68881 65909","SH 6889 6532","933.8","41.7","cairn","rock outcrop 25m SSE at SH 68891 65885 is about 50cm lower","Abney level/Leica RX1250","2017-12-13","","115","OL17E OL17W","268878","365906","53.174077","-3.963234","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
