hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,Sy,Fel,CoH,CoA,CoU,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
2877,"High Willhays","40",,"Ma,Sim,Hew,N, CoH,CoU,CoA","621","2037","SX580892","SX 58027 89220","ST651119","84","537","large cairn on rock tor","","Abney level","2009-11-20","","191","OL28N","258024","89214","50.685203","-4.011163","E","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2878,"Yes Tor","40",2877,"N,sSim","619","2031","SX580901","SX 58093 90152","SX579899","595","24","trig point on rock tor","","obvious summit","2001-10-28","","191","OL28N 113","258090","90146","50.693595","-4.010588","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2879,"Cut Hill","40",2877,"Sim,Dew,sHu","603","1978","SX598827","SX 59818 82745","SX592883","513","90","grassy mound","","Abney level","2001-10-28","","191","OL28N","259815","82739","50.627443","-3.983373","E","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2880,"Hangingstone Hill","40",2877,"Sim,Dew","603","1978","SX617861","SX 61703 86136","SX601839","555","48","small cairn on mound of grass and stones 10m N of stone hut","Whitehorse Hill 650m S at SX 61738 85483 has 602m spot on 1:25k map and 601m on Harvey map","","2001-10-28","","191","OL28N","261700","86130","50.658371","-3.958005","E","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2881,"Brown Willy","40",,"Ma,4,CoH,CoU, CoA","420","1378","SX158799","SX 15873 80004","SS268015","106","314","trig point and cairn","cairn is 3m E of trig point","obvious summit","2001-10-28","","201","109","215870","79998","50.590592","-4.602736","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882,"Mardon Down","40",2877,"Hu,3,sMa","356","1168","SX767870","SX 76772 87093","SX749863","211","145","rock","cairn 360m N at SX 76764 87459 is lower","Abney level","2001-10-28","Alternative summit 356m at SX767874","191","OL28N","276769","87087","50.670359","-3.74524","E","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883,"Kit Hill","40",,"Ma,3","334","1096","SX374713","SX 37487 71343","SX301760","163","171","ground at base of chimney","trig point 60m E at SX 37544 71361 is about 1.5m lower","Abney level","2007-03-10","","201","108","237484","71337","50.519186","-4.293869","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,"Hensbarrow Beacon","40",19290,"Un","313","1027","SW996575","SW 99682 57557","SW 9968 5750","307","6","ground at boundary stone 8m north of trig point","all visible china clay tips are higher (Abney level)","obvious summit","2017-02-04","Replaced by 19290 Hensbarrow Downs in Feb 2017","200","106","199679","57551","50.383635","-4.819167","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2885,"Christ Cross","40",,"Ma,2","261","856","SS964052","SS 96415 05229","SS995133","88","173","trig point on top of wall within hedge","trig point is difficult to find and radio mast compound permits access from only one side","","2012-07-31","","192","114S","296412","105223","50.837229","-3.472477","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,"Carnmenellis","40",,"Ma,2","252","827","SW695364","SW 69562 36448","SW789496","87","165","trig point","ground 180m SSE is lower","Abney level","2001-10-28","","203","103 104","169559","36441","50.183061","-5.229317","E","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
