date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,2,0
2020-03-13,0,0
2020-03-14,1,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,4,0
2020-03-24,5,0
2020-03-25,5,0
2020-03-26,5,0
2020-03-27,3,0
2020-03-28,4,0
2020-03-29,17,0
2020-03-30,14,0
2020-03-31,3,0
2020-04-01,17,0
2020-04-02,9,0
2020-04-03,11,0
2020-04-04,6,0
2020-04-05,15,0
2020-04-06,5,0
2020-04-07,11,0
2020-04-08,18,0
2020-04-09,11,0
2020-04-10,24,0
2020-04-11,12,0
2020-04-12,10,0
2020-04-13,15,0
2020-04-14,14,0
2020-04-15,16,0
2020-04-16,10,0
2020-04-17,16,18
2020-04-18,14,15
2020-04-19,14,8
2020-04-20,17,15
2020-04-21,21,7
2020-04-22,20,22
2020-04-23,25,20
2020-04-24,24,16
2020-04-25,20,19
2020-04-26,16,15
2020-04-27,22,14
2020-04-28,26,14
2020-04-29,22,1
2020-04-30,45,35
2020-05-01,27,12
2020-05-02,26,19
2020-05-03,21,19
2020-05-04,20,15
2020-05-05,29,8
2020-05-06,38,8
2020-05-07,31,18
2020-05-08,30,30
2020-05-09,8,24
2020-05-10,20,2
2020-05-11,22,2
2020-05-12,35,17
2020-05-13,19,7
2020-05-14,27,14
2020-05-15,20,9
2020-05-16,16,12
2020-05-17,10,11
2020-05-18,13,11
2020-05-19,15,5
2020-05-20,20,3
2020-05-21,13,9
2020-05-22,19,9
2020-05-23,10,8
2020-05-24,16,9
2020-05-25,12,3
2020-05-26,18,1
2020-05-27,29,5
2020-05-28,16,7
2020-05-29,11,8
2020-05-30,14,4
2020-05-31,14,4
2020-06-01,17,5
2020-06-02,16,7
2020-06-03,10,5
2020-06-04,11,14
2020-06-05,13,3
2020-06-06,4,3
2020-06-07,4,0
2020-06-08,5,3
2020-06-09,13,1
2020-06-10,6,0
2020-06-11,9,8
2020-06-12,5,3
2020-06-13,14,1
2020-06-14,5,5
2020-06-15,4,4
2020-06-16,10,1
2020-06-17,9,6
2020-06-18,9,1
2020-06-19,7,5
2020-06-20,5,2
2020-06-21,1,3
2020-06-22,5,1
2020-06-23,11,1
2020-06-24,7,0
2020-06-25,7,6
2020-06-26,5,1
2020-06-27,2,2
2020-06-28,0,1
2020-06-29,2,1
2020-06-30,8,0
2020-07-01,4,548
2020-07-02,8,9
2020-07-03,2,6
2020-07-04,1,7
2020-07-05,6,2
2020-07-06,6,0
2020-07-07,3,7
2020-07-08,10,5
2020-07-09,5,3
2020-07-10,2,5
2020-07-11,1,6
2020-07-12,0,4
2020-07-13,2,3
2020-07-14,2,0
2020-07-15,1,2
2020-07-16,0,0
2020-07-17,3,1
2020-07-18,3,0
2020-07-19,0,4
2020-07-20,0,3
2020-07-21,3,4
2020-07-22,3,0
2020-07-23,2,1
2020-07-24,1,3
2020-07-25,0,4
2020-07-26,0,2
2020-07-27,2,0
2020-07-28,4,1
2020-07-29,3,2
2020-07-30,0,2
2020-07-31,0,1
2020-08-01,2,0
2020-08-02,4,1
2020-08-03,8,3
2020-08-04,9,2
2020-08-05,6,11
2020-08-06,4,5
