date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,1,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,3,0
2020-03-26,1,0
2020-03-27,0,0
2020-03-28,2,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,4,0
2020-04-01,1,0
2020-04-02,4,0
2020-04-03,2,0
2020-04-04,3,0
2020-04-05,2,0
2020-04-06,7,0
2020-04-07,5,0
2020-04-08,7,0
2020-04-09,8,0
2020-04-10,3,0
2020-04-11,10,0
2020-04-12,10,0
2020-04-13,5,0
2020-04-14,7,0
2020-04-15,15,0
2020-04-16,6,0
2020-04-17,13,0
2020-04-18,10,0
2020-04-19,10,0
2020-04-20,24,0
2020-04-21,12,0
2020-04-22,8,0
2020-04-23,7,0
2020-04-24,9,0
2020-04-25,5,0
2020-04-26,8,0
2020-04-27,4,0
2020-04-28,12,0
2020-04-29,7,0
2020-04-30,9,0
2020-05-01,14,0
2020-05-02,3,0
2020-05-03,5,0
2020-05-04,12,0
2020-05-05,4,0
2020-05-06,10,0
2020-05-07,7,0
2020-05-08,6,0
2020-05-09,9,0
2020-05-10,2,0
2020-05-11,39,0
2020-05-12,14,0
2020-05-13,21,0
2020-05-14,14,0
2020-05-15,12,0
2020-05-16,11,0
2020-05-17,5,0
2020-05-18,5,0
2020-05-19,13,0
2020-05-20,13,0
2020-05-21,15,0
2020-05-22,14,0
2020-05-23,8,0
2020-05-24,2,0
2020-05-25,6,0
2020-05-26,14,0
2020-05-27,8,0
2020-05-28,6,0
2020-05-29,20,13
2020-05-30,8,4
2020-05-31,3,5
2020-06-01,5,8
2020-06-02,5,13
2020-06-03,3,6
2020-06-04,5,0
2020-06-05,3,8
2020-06-06,5,3
2020-06-07,1,2
2020-06-08,6,2
2020-06-09,6,2
2020-06-10,10,8
2020-06-11,3,0
2020-06-12,8,9
2020-06-13,4,3
2020-06-14,3,0
2020-06-15,7,3
2020-06-16,5,18
2020-06-17,2,8
2020-06-18,5,4
2020-06-19,7,1
2020-06-20,1,0
2020-06-21,0,6
2020-06-22,4,3
2020-06-23,6,11
2020-06-24,2,1
2020-06-25,4,4
2020-06-26,0,3
2020-06-27,3,4
2020-06-28,3,3
2020-06-29,2,0
2020-06-30,0,3
2020-07-01,0,3
2020-07-02,2,2
2020-07-03,0,0
2020-07-04,1,2
2020-07-05,0,0
2020-07-06,0,1
2020-07-07,1,0
2020-07-08,0,0
2020-07-09,3,1
2020-07-10,1,0
2020-07-11,3,1
2020-07-12,1,2
2020-07-13,4,1
2020-07-14,2,25
2020-07-15,0,2
2020-07-16,0,4
2020-07-17,1,4
2020-07-18,1,0
2020-07-19,1,1
2020-07-20,1,0
2020-07-21,1,2
2020-07-22,0,1
2020-07-23,2,0
2020-07-24,1,1
2020-07-25,1,0
2020-07-26,0,3
2020-07-27,0,1
2020-07-28,0,0
2020-07-29,0,0
2020-07-30,2,0
2020-07-31,2,0
2020-08-01,1,0
2020-08-02,0,2
2020-08-03,0,0
2020-08-04,0,3
2020-08-05,0,0
2020-08-06,1,0
