date,newCasesBySpecimenDate,newCasesByPublishDate
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,2,0
2020-03-06,1,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,2,0
2020-03-11,0,0
2020-03-12,3,0
2020-03-13,0,0
2020-03-14,1,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,0,0
2020-03-21,3,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,5,0
2020-03-25,5,0
2020-03-26,9,0
2020-03-27,9,0
2020-03-28,7,0
2020-03-29,6,0
2020-03-30,13,0
2020-03-31,6,0
2020-04-01,15,0
2020-04-02,12,0
2020-04-03,11,0
2020-04-04,8,0
2020-04-05,12,0
2020-04-06,20,0
2020-04-07,18,0
2020-04-08,15,0
2020-04-09,17,0
2020-04-10,22,0
2020-04-11,7,0
2020-04-12,22,0
2020-04-13,14,0
2020-04-14,18,0
2020-04-15,9,0
2020-04-16,26,0
2020-04-17,13,22
2020-04-18,13,14
2020-04-19,8,13
2020-04-20,9,4
2020-04-21,18,34
2020-04-22,7,9
2020-04-23,9,14
2020-04-24,9,2
2020-04-25,5,14
2020-04-26,38,4
2020-04-27,34,2
2020-04-28,21,6
2020-04-29,29,3
2020-04-30,20,4
2020-05-01,31,2
2020-05-02,11,6
2020-05-03,9,1
2020-05-04,17,2
2020-05-05,12,5
2020-05-06,9,21
2020-05-07,9,0
2020-05-08,8,3
2020-05-09,13,0
2020-05-10,10,0
2020-05-11,9,0
2020-05-12,17,11
2020-05-13,4,3
2020-05-14,4,1
2020-05-15,2,2
2020-05-16,6,1
2020-05-17,4,1
2020-05-18,3,1
2020-05-19,9,1
2020-05-20,3,0
2020-05-21,7,4
2020-05-22,1,3
2020-05-23,2,1
2020-05-24,4,2
2020-05-25,1,1
2020-05-26,0,1
2020-05-27,3,2
2020-05-28,8,0
2020-05-29,7,1
2020-05-30,2,1
2020-05-31,2,0
2020-06-01,0,0
2020-06-02,0,2
2020-06-03,1,0
2020-06-04,2,0
2020-06-05,2,0
2020-06-06,2,0
2020-06-07,2,0
2020-06-08,1,1
2020-06-09,0,1
2020-06-10,0,1
2020-06-11,0,1
2020-06-12,1,0
2020-06-13,1,0
2020-06-14,0,1
2020-06-15,1,0
2020-06-16,3,1
2020-06-17,0,0
2020-06-18,0,0
2020-06-19,1,1
2020-06-20,0,0
2020-06-21,0,2
2020-06-22,0,0
2020-06-23,2,0
2020-06-24,2,0
2020-06-25,0,0
2020-06-26,1,1
2020-06-27,0,0
2020-06-28,0,0
2020-06-29,1,0
2020-06-30,0,0
2020-07-01,2,314
2020-07-02,0,0
2020-07-03,0,1
2020-07-04,0,1
2020-07-05,2,0
2020-07-06,1,0
2020-07-07,1,1
2020-07-08,0,1
2020-07-09,2,1
2020-07-10,0,0
2020-07-11,0,3
2020-07-12,0,0
2020-07-13,2,0
2020-07-14,2,0
2020-07-15,2,2
2020-07-16,1,1
2020-07-17,2,2
2020-07-18,0,1
2020-07-19,0,1
2020-07-20,0,2
2020-07-21,2,0
2020-07-22,1,0
2020-07-23,2,1
2020-07-24,2,0
2020-07-25,0,1
2020-07-26,1,6
2020-07-27,1,0
2020-07-28,0,2
2020-07-29,2,1
2020-07-30,0,0
2020-07-31,0,0
2020-08-01,0,0
2020-08-02,0,1
2020-08-03,1,1
2020-08-04,5,0
2020-08-05,1,0
2020-08-06,0,4
